stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
epicanthus inversus syndrome	epicanthus inversus syndrome	epicanthus inversus syndrome	3	5,95713542369	34,648562585	83,2905181246	3,0	22,0	 
efficacy therapeutic	therapeutic efficacy	therapeutic efficacy	2	7,86819688189	43,5746529293	361,960179761	5,0	79,0	 
anti-tumor immune response	anti-tumor immune response	anti-tumor immune response	3	3,9714236158	24,709315429	308,091201882	2,0	17,0	 
blood glucose level	blood glucose levels	blood glucose levels	3	7,94284723159	43,9130686939	119,857086099	4,0	77,0	 
-dependent activator protein secretion	-dependent activator protein for secretion	-dependent activator protein for secretion	5	9,92855903949	52,6758419438	200,530650249	5,0	85,0	 
T2 tumor	T2 tumors	T2 tumors	2	4,72091812914	28,5563577056	202,585714158	3,0	33,0	 
deletion large	large deletions	large deletions	2	4,72091812914	28,5563577056	189,706502677	3,0	37,0	 
cell plasma	plasma cell	plasma cell|&|plasma cells|&|cell plasma	2	6,29455750551	40,627367047	176,50435178	2,0	30,0	 
potential role	potential role	potential role|&|Potential role	2	15,7363937638	76,2416688891	200,950113795	14,0	179,0	 
blue dye injection isosulfan	injection of isosulfan blue dye	injection of isosulfan blue dye|&|injection of both isosulfan blue dye|&|isosulfan blue dye injection	5	7,94284723159	43,9130686939	204,099363351	4,0	44,0	 
diagnosis intraoperative	intraoperative diagnosis	intraoperative diagnosis	2	7,86819688189	45,330390324	228,063539299	8,0	91,0	 
definitive histology	definitive histology	definitive histology	2	6,29455750551	36,2643122592	241,27276446	4,0	24,0	 
cDNA microarrays	cDNA microarrays	cDNA microarrays	2	6,29455750551	36,2643122592	428,11402112	4,0	49,0	 
muscle response	muscle responses	muscle responses	2	4,72091812914	28,5563577056	185,628267613	3,0	51,0	 
gene polymorphism	gene polymorphisms	gene polymorphisms|&|gene polymorphism|&|Polymorphisms in genes	2	11,0154756347	57,2981123768	185,7419226	15,0	168,0	 
clinical examination	clinical examination	clinical examination	2	4,72091812914	28,5563577056	221,181136945	3,0	89,0	 
ammonia excretion rate	ammonia excretion rates	ammonia excretion rates|&|ammonia excretion rate	3	9,92855903949	61,7732885726	169,880960046	2,0	28,0	 
blood circulation	blood circulation	blood circulation	2	4,72091812914	28,5563577056	115,176048704	3,0	42,0	 
cancer patient	cancer patients	cancer patients|&|patients with cancer|&|cancer patient|&|patients with a cancer|&|cancer in patients	2	22,0309512693	99,3255329962	2374,80047113	228,0	3443,0	 
great potential	great potential	great potential	2	6,29455750551	36,2643122592	121,006533819	4,0	65,0	 
isolate membrane plasma	isolated plasma membranes	isolated plasma membranes	3	3,9714236158	24,709315429	496,534395186	2,0	31,0	 
adjuvant biopsy lymph node sentinel	sentinel lymph node biopsy and adjuvant	sentinel lymph node biopsy and adjuvant	6	3,9714236158	24,709315429	84,8827835568	2,0	21,0	 
nucleus solitarius tractus	nucleus tractus solitarius	nucleus tractus solitarius|&|nucleus of the tractus solitarius	3	9,92855903949	52,6758419438	175,859987753	7,0	68,0	 
level myosin phosphorylation	level of myosin phosphorylation	level of myosin phosphorylation	4	3,9714236158	27,4620965111	108,818954886	1,0	17,0	 
axilla disease residual	residual disease in the axilla	residual disease in the axilla	5	3,9714236158	24,709315429	284,717902466	2,0	33,0	 
analysis blot western	western blot analysis	western blot analysis	3	9,92855903949	54,8913358673	167,322004298	4,0	53,0	 
homogenization pressure	pressure homogenization	pressure homogenization|&|homogenization pressure	2	4,72091812914	30,4705252852	340,101771052	5,0	81,0	 
gene several	several genes	several genes|&|Several genes	2	17,3100331402	82,216013407	167,7271424	11,0	198,0	 
C-mediated hydrolysis phospholipase	phospholipase C-mediated hydrolysis	phospholipase C-mediated hydrolysis	3	3,9714236158	27,4620965111	282,426066426	1,0	21,0	 
cancer cervix uterine	cancer of the uterine cervix	cancer of the uterine cervix	5	3,9714236158	24,709315429	333,216189723	2,0	23,0	 
evaporation technique	evaporation technique	evaporation technique|&|evaporation techniques	2	7,86819688189	43,5746529293	252,414459364	5,0	92,0	 
comparative pain scale	comparative pain scale	comparative pain scale	3	3,9714236158	27,4620965111	405,516331976	2,0	35,0	 
control growth	growth control	growth control	2	9,44183625827	50,5681332296	244,763374368	6,0	109,0	 
axillary completion dissection	completion axillary dissection	completion axillary dissection|&|completion axillary dissections	3	15,8856944632	78,9362519638	421,705510174	7,0	129,0	 
Median follow-up	Median follow-up	Median follow-up	2	6,29455750551	36,2643122592	316,501195884	4,0	69,0	 
lymph node regional status	status of the regional lymph nodes	status of the regional lymph nodes|&|regional lymph node status|&|status of regional lymph nodes	6	11,9142708474	61,0387819236	345,334106553	6,0	100,0	 
kidney normal nucleus rat	nuclei of normal rat kidney	nuclei of normal rat kidney	5	3,9714236158	24,709315429	283,659608487	2,0	19,0	 
control local	local control	local control	2	4,72091812914	28,5563577056	342,664192746	3,0	46,0	 
laryngeal nerve recurrent	recurrent laryngeal nerve	recurrent laryngeal nerve|&|recurrent laryngeal nerves	3	33,7571007343	142,011896912	333,460992283	21,0	267,0	 
breast cancer dissection lymph node sentinel	sentinel lymph node dissection for breast cancer	sentinel lymph node dissection for breast cancer	7	3,9714236158	24,709315429	215,32346975	4,0	64,0	 
Functional liposome reconstitution	Functional reconstitution into liposomes	Functional reconstitution into liposomes	4	3,9714236158	24,709315429	169,094519145	2,0	34,0	 
abnormality frequent glioma immune system	Frequent abnormalities of the immune system in gliomas	Frequent abnormalities of the immune system in gliomas	8	3,9714236158	24,709315429	97,8402925269	2,0	38,0	 
feasible method	feasible method	feasible method	2	6,29455750551	36,2643122592	154,798709413	4,0	87,0	 
gene-gene interaction	gene-gene interactions	gene-gene interactions	2	4,72091812914	30,4705252852	123,740551305	2,0	50,0	 
early embryo	early embryo	early embryo	2	6,29455750551	36,2643122592	93,6892503308	4,0	65,0	 
colon invasive lymph mapping node pig sentinel	invasive sentinel lymph node mapping of the pig colon	invasive sentinel lymph node mapping of the pig colon	9	3,9714236158	24,709315429	465,505151719	2,0	23,0	 
circulation systemic	systemic circulation	systemic circulation	2	4,72091812914	28,5563577056	129,572359262	3,0	48,0	 
lymph melanoma node sentinel	melanoma sentinel lymph node	melanoma sentinel lymph node|&|melanoma sentinel lymph nodes|&|sentinel lymph nodes in melanoma|&|sentinel lymph node in melanoma	4	9,92855903949	52,6758419438	236,110522212	14,0	186,0	 
mesenchymal mouse transition	mesenchymal transition in the mouse	mesenchymal transition in the mouse	5	3,9714236158	24,709315429	129,298629508	2,0	29,0	 
action potential single	single action potentials	single action potentials	3	3,9714236158	27,4620965111	164,190499373	1,0	8,0	 
false-negative rate	false-negative rate	false-negative rate|&|false-negative rates|&|False-negative rates|&|False-negative rate	2	72,3874113134	250,36141677	583,724110903	40,0	520,0	 
cell junction	cell junction	cell junction|&|cell junctions|&|junctions of cells	2	6,29455750551	36,2643122592	301,527623813	4,0	70,0	 
pathology routine	routine pathology	routine pathology	2	4,72091812914	30,4705252852	574,760581564	2,0	5,0	 
heat response shock yeast	heat shock response in yeast	heat shock response in yeast	5	3,9714236158	24,709315429	231,558341929	2,0	39,0	 
carcinoma cell papillary renal	papillary renal cell carcinoma	papillary renal cell carcinoma	4	9,92855903949	57,7476043083	177,303244089	3,0	61,0	 
albumin bovine serum	bovine serum albumin	bovine serum albumin|&|Bovine serum albumin	3	5,95713542369	34,648562585	84,0898481876	3,0	45,0	 
adult neurogenesis	adult neurogenesis	adult neurogenesis	2	15,7363937638	84,2802220493	255,288267229	6,0	103,0	 
basin nodal	nodal basin	nodal basin|&|nodal basins	2	20,4573118929	93,746901968	299,969796322	13,0	197,0	 
lipid nanoparticles repaglinide solid	solid lipid nanoparticles of repaglinide	solid lipid nanoparticles of repaglinide	5	3,9714236158	24,709315429	553,01008184	2,0	25,0	 
head neck	head and neck	head and neck|&|head or neck	3	45,635541915	175,773256859	481,033635398	27,0	371,0	 
Sox17-positive cell	Sox17-positive cells	Sox17-positive cells	2	4,72091812914	33,7428163761	140,793467477	1,0	16,0	 
cell ectoplasmic specialization	cell ectoplasmic specializations	cell ectoplasmic specializations	3	3,9714236158	24,709315429	193,418883133	2,0	23,0	 
lymph node sentinel technique	sentinel lymph node technique	sentinel lymph node technique|&|technique for sentinel lymph node|&|technique of sentinel lymph node	4	5,95713542369	34,648562585	195,200940979	7,0	128,0	 
brain tumor	brain tumors	brain tumors|&|brain tumor	2	7,86819688189	43,5746529293	342,065834741	7,0	91,0	 
cytotoxic effect	cytotoxic effects	cytotoxic effects	2	6,29455750551	38,0751436075	302,170922414	3,0	52,0	 
human incidence papilloma virus	incidence of human papilloma virus	incidence of human papilloma virus	5	3,9714236158	24,709315429	443,689620799	2,0	22,0	 
electrophoresis gel two-dimensional	two-dimensional gel electrophoresis	two-dimensional gel electrophoresis	3	5,95713542369	34,648562585	115,643656628	3,0	50,0	 
Ultrasound imaging lymph malignant melanoma node sentinel	Ultrasound imaging of the sentinel lymph node in malignant melanoma	Ultrasound imaging of the sentinel lymph node in malignant melanoma	10	3,9714236158	24,709315429	595,71024697	2,0	21,0	 
breast cancer node patient positive sentinel	breast cancer patients with a positive sentinel node	breast cancer patients with a positive sentinel node	8	9,92855903949	52,6758419438	364,821322171	5,0	59,0	 
analysis vitro	vitro analyses	vitro analyses	2	4,72091812914	28,5563577056	122,035871748	3,0	33,0	 
axillary dissection lymph node routine	routine axillary lymph node dissection	routine axillary lymph node dissection|&|routine axillary lymph node dissections|&|Routine axillary lymph node dissection	5	7,94284723159	43,9130686939	250,368575605	4,0	70,0	 
loss-of-function mutation	loss-of-function mutations	loss-of-function mutations|&|loss-of-function mutation	2	9,44183625827	50,5681332296	204,722681249	6,0	104,0	 
deficient mouse	mice deficient	mice deficient|&|Mice deficient|&|deficient mice	2	9,44183625827	52,2895835152	94,2447600372	5,0	63,0	 
alpha-SMA expression	alpha-SMA expression	alpha-SMA expression|&|Expression of alpha-SMA	2	7,86819688189	45,330390324	352,991670051	4,0	57,0	 
exon fragment	exon fragments	exon fragments	2	4,72091812914	33,7428163761	91,8516791273	1,0	17,0	 
distant failure	distant failure	distant failure|&|distant failures	2	4,72091812914	28,5563577056	235,146465113	3,0	37,0	 
pattern similar	similar pattern	similar pattern|&|similar patterns|&|Similar pattern	2	12,589115011	63,8025149427	172,49374528	8,0	118,0	 
metastasis non-SLN patient	non-SLN metastases in patients	non-SLN metastases in patients|&|patients with non-SLN metastases	4	3,9714236158	24,709315429	385,327715698	2,0	27,0	 
multicenter node prospective sentinel trial	prospective multicenter sentinel node trial	prospective multicenter sentinel node trial	5	3,9714236158	24,709315429	103,46496601	2,0	20,0	 
cell muscle smooth	smooth muscle cells	smooth muscle cells	3	7,94284723159	49,418630858	199,326204108	2,0	44,0	 
biopsy excisional	excisional biopsy	excisional biopsy	2	6,29455750551	36,2643122592	249,181176773	4,0	56,0	 
phase plateau	plateau phase	plateau phase	2	4,72091812914	30,4705252852	110,994863099	2,0	32,0	 
body embryoid formation	embryoid body formation	embryoid body formation	3	5,95713542369	34,648562585	117,768632711	3,0	72,0	 
antibody fertilization-blocking monoclonal	fertilization-blocking monoclonal antibody	fertilization-blocking monoclonal antibody	3	3,9714236158	24,709315429	838,785065901	2,0	16,0	 
cancer early gastric	early gastric cancer	early gastric cancer	3	5,95713542369	34,648562585	332,799437872	5,0	76,0	 
cardiovascular disease	cardiovascular diseases	cardiovascular diseases|&|cardiovascular disease	2	4,72091812914	28,5563577056	93,0048051691	3,0	46,0	 
critical expression gene	expression of critical genes	expression of critical genes	4	3,9714236158	24,709315429	853,341223523	2,0	13,0	 
activity luciferase	luciferase activity	luciferase activity	2	4,72091812914	30,4705252852	103,73515617	2,0	42,0	 
bioavailability oral	oral bioavailability	oral bioavailability	2	7,86819688189	45,330390324	514,470489001	8,0	129,0	 
accurate more staging	more accurate staging	more accurate staging	3	3,9714236158	24,709315429	237,30866339	2,0	51,0	 
chromatin immunoprecipitation	chromatin immunoprecipitation	chromatin immunoprecipitation|&|Chromatin immunoprecipitation	2	11,0154756347	57,2981123768	193,081275577	11,0	216,0	 
ectopic expression	ectopic expression	ectopic expression|&|Ectopic expression	2	25,1782300221	113,514894853	194,492589803	14,0	226,0	 
development present state	present state of development	present state of development	4	5,95713542369	34,648562585	78,3793882038	3,0	49,0	 
current guideline	Current guidelines	Current guidelines	2	4,72091812914	28,5563577056	196,411566365	3,0	51,0	 
isotope success	isotope success	isotope success|&|isotope successes	2	6,29455750551	38,0751436075	286,248398777	3,0	37,0	 
axillary breast cancer lymph negative node patient rate recurrence sentinel	Axillary recurrence rate in breast cancer patients with negative sentinel lymph node	Axillary recurrence rate in breast cancer patients with negative sentinel lymph node	12	3,9714236158	24,709315429	300,55677813	2,0	43,0	 
PDZK1 expression	PDZK1 expression	PDZK1 expression	2	4,72091812914	28,5563577056	102,1797855	3,0	38,0	 
high patient risk	patients with a high risk	patients with a high risk|&|patients at higher risk	5	5,95713542369	34,648562585	1058,46909494	3,0	32,0	 
carcinoma invasive	invasive carcinoma	invasive carcinoma|&|Invasive carcinoma	2	11,0154756347	58,9961554345	216,953830787	6,0	72,0	 
melanoma metastasis	melanoma metastases	melanoma metastases	2	6,29455750551	36,2643122592	226,289476884	6,0	92,0	 
additional lymph node positive	additional positive lymph nodes	additional positive lymph nodes|&|positive additional lymph nodes	4	3,9714236158	24,709315429	274,109792407	2,0	43,0	 
